Name as printed in source(s),Standardised district name,Note
Attock,Attock,
Bahawalnagar,Bahawalnagar,
Bahawalpur,Bahawalpur,
Bhakkar,Bhakkar,
Chakwal,Chakwal,
Chiniot,Chiniot,
D.G. Khan,Dera Ghazi Khan,Printed as 'D.G. Khan'.
Faisalabad,Faisalabad,
Gujranwala,Gujranwala,
Gujrat,Gujrat,
Hafizabad,Hafizabad,
Jhang,Jhang,
Jhelum,Jhelum,
Kasur,Kasur,
Khanewal,Khanewal,
Khushab,Khushab,
Kot Addu,Kot Addu,
Lahore,Lahore,
Layyah,Layyah,
Lodhran,Lodhran,
M.B. Din | M.B.Din,Mandi Bahauddin,Printed as 'M.B. Din' / 'M.B.Din'.
Mianwali,Mianwali,
Multan,Multan,
Muree,Murree,
M. Garh | Muzaffargarh | Muzzafargargh,Muzaffargarh,Printed as 'Muzaffargarh' (CRS) and 'M. Garh' (AMIS).
Nankana Sahib,Nankana Sahib,Carved out of Sheikhupura District (2005); reported separately in every source used - Sheikhupura values are Sheikhupura District only.
Narowal,Narowal,
Okara,Okara,
Pakpattan,Pakpattan,
R.Y. Khan | Rahim Yar Khan | Rahimyar Khan,Rahim Yar Khan,"Printed as 'Rahim Yar Khan', 'R.Y. Khan', 'Rahimyar Khan'."
Rajan Pur | Rajanpur,Rajanpur,Printed as 'Rajan Pur' (CRS) and 'Rajanpur' (AMIS).
Rawalpindi,Rawalpindi,
Sahiwal,Sahiwal,
Sargodha,Sargodha,
Sheikhupura,Sheikhupura,
Sialkot,Sialkot,
Talagang,Talagang,
T.T. Singh | Toba Tek Singh,Toba Tek Singh,Printed as 'T.T. Singh' (CRS) and 'Toba Tek Singh' (AMIS).
Vehari,Vehari,
Wazirabad,Wazirabad,
