District,Season,Crop,Area (ha),Production (tonnes),Yield,Yield Unit,Source
Attock,2017-18,bajra,4900.0,1900.0,0.3878,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2018-19,bajra,4400.0,1500.0,0.3409,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2019-20,bajra,4580.0,1800.0,0.393,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2020-21,bajra,1214.0,580.0,0.4778,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2021-22,bajra,1012.0,1050.0,1.0375,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2022-23,bajra,48.0,99.0,2.0625,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2017-18,bajra,11600.0,12400.0,1.069,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2018-19,bajra,12600.0,13300.0,1.0556,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2019-20,bajra,13000.0,14500.0,1.1154,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2020-21,bajra,8031.0,9449.0,1.1766,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2021-22,bajra,2423.0,2660.0,1.0978,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2022-23,bajra,7382.0,10149.0,1.3748,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2023-24,bajra,8551.0,18928.0,2.2135,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2024-25,bajra,4613.0,7254.0,1.5725,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2017-18,bajra,3800.0,3500.0,0.9211,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2018-19,bajra,4400.0,4400.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2019-20,bajra,3800.0,4600.0,1.2105,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2020-21,bajra,1444.0,1470.0,1.018,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2021-22,bajra,3.0,2.0,0.6667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2017-18,bajra,34300.0,53500.0,1.5598,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2018-19,bajra,36000.0,57800.0,1.6056,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2019-20,bajra,38440.0,62300.0,1.6207,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2020-21,bajra,25430.0,39338.0,1.5469,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2021-22,bajra,23516.0,37239.0,1.5836,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2022-23,bajra,31232.0,54426.0,1.7426,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
