District,Season,Rice Category,Rice Area,Rice Production,Rice Yield,Area Unit,Production Unit,Yield Unit,Source Document,Source URL,Page Number,Table Number,Verification Status,Directly Reported or Calculated,Verification Notes
Bahawalnagar,2020-21,Basmati,102380,249700,2438,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalnagar,2020-21,Non-Basmati,6470,19600,3028,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalnagar,2020-21,Total Rice,108850,269300,2474,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Bahawalnagar,2021-22,Basmati,113710,261470,2299,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalnagar,2021-22,Non-Basmati,22660,67020,2957,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalnagar,2021-22,Total Rice,136370,328490,2409,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Bahawalnagar,2022-23,Total Rice,104810,239020,2281,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Bahawalpur,2020-21,Basmati,20230,38400,1898,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalpur,2020-21,Non-Basmati,810,2000,2471,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalpur,2020-21,Total Rice,21040,40400,1920,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
