District,Season,Wheat Area (ha),Wheat Production (tonnes),Wheat Yield (kg/ha),Source,Source URL,Verification Status
Attock,2010-11,155800,252650,1621,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Attock,2011-12,155390,167110,1075,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Attock,2012-13,155800,164470,1056,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Attock,2013-14,159040,218330,1372,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Attock,2014-15,173610,300940,1733,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Attock,2015-16,187770,335230,1785.32246897801,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Attock,2016-17,151350,205030,1355,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Attock,2017-18,151350,223130,1474,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Attock,2018-19,151350,286930,1895,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Attock,2020-21,203150,359000,1767,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report); printed area total corrected from printed components (see notes)
Attock,2021-22,182920,310340,1697,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Attock,2022-23,190200,348200,1831,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Bahawalnagar,2010-11,344780,1076710,3123,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
