district,season,crop_type,start,end,tmax_mean_c,tmin_mean_c,tmax_peak_c,rain_mm,frost_days,hot_days_35c
Attock,2017-18,wheat,2017-12-01,2018-03-15,19.577,7.213,27.3,101.2,0,0
Attock,2018-19,wheat,2018-12-01,2019-03-15,16.549,5.698,22.3,202.9,7,0
Attock,2020-21,wheat,2020-12-01,2021-03-15,19.021,7.162,26.2,77.4,2,0
Attock,2021-22,wheat,2021-12-01,2022-03-15,17.849,6.81,30.7,166.1,2,0
Attock,2022-23,wheat,2022-12-01,2023-03-15,19.336,7.256,30.3,46.2,8,0
Bahawalnagar,2017-18,wheat,2017-12-01,2018-03-15,23.907,10.312,34.4,21.8,0,0
Bahawalnagar,2018-19,wheat,2018-12-01,2019-03-15,21.42,9.127,27.0,47.3,0,0
Bahawalnagar,2020-21,wheat,2020-12-01,2021-03-15,23.551,9.893,34.0,13.4,0,0
Bahawalnagar,2021-22,wheat,2021-12-01,2022-03-15,22.147,9.575,36.4,34.5,0,1
Bahawalnagar,2022-23,wheat,2022-12-01,2023-03-15,23.085,9.723,33.0,13.7,1,0
Bahawalpur,2017-18,wheat,2017-12-01,2018-03-15,24.861,10.714,36.0,11.8,0,2
Bahawalpur,2018-19,wheat,2018-12-01,2019-03-15,21.868,9.064,28.5,36.4,0,0
Bahawalpur,2020-21,wheat,2020-12-01,2021-03-15,24.893,10.247,37.6,3.7,0,2
Bahawalpur,2021-22,wheat,2021-12-01,2022-03-15,22.456,9.988,39.5,30.6,0,4
Bahawalpur,2022-23,wheat,2022-12-01,2023-03-15,25.303,10.827,35.7,7.2,0,4
Bhakkar,2017-18,wheat,2017-12-01,2018-03-15,22.257,8.304,30.8,53.1,0,0
Bhakkar,2018-19,wheat,2018-12-01,2019-03-15,19.145,7.27,24.8,128.6,0,0
Bhakkar,2020-21,wheat,2020-12-01,2021-03-15,21.536,8.393,30.2,30.6,0,0
Bhakkar,2021-22,wheat,2021-12-01,2022-03-15,20.988,8.618,34.7,117.5,0,0
Bhakkar,2022-23,wheat,2022-12-01,2023-03-15,22.24,8.969,32.7,18.2,2,0
Chakwal,2017-18,wheat,2017-12-01,2018-03-15,20.258,8.155,29.4,56.8,0,0
Chakwal,2018-19,wheat,2018-12-01,2019-03-15,16.631,6.044,23.9,232.1,1,0
Chakwal,2020-21,wheat,2020-12-01,2021-03-15,19.956,8.057,28.0,74.9,1,0
Chakwal,2021-22,wheat,2021-12-01,2022-03-15,18.404,7.399,32.6,157.7,0,0
Chakwal,2022-23,wheat,2022-12-01,2023-03-15,20.354,7.976,32.7,38.6,2,0
Dera Ghazi Khan,2017-18,wheat,2017-12-01,2018-03-15,21.319,12.538,32.9,42.9,0,0
Dera Ghazi Khan,2018-19,wheat,2018-12-01,2019-03-15,18.244,10.429,23.4,83.8,0,0
Dera Ghazi Khan,2020-21,wheat,2020-12-01,2021-03-15,21.609,12.744,32.3,6.8,0,0
Dera Ghazi Khan,2021-22,wheat,2021-12-01,2022-03-15,20.358,11.921,36.5,78.2,0,1
Dera Ghazi Khan,2022-23,wheat,2022-12-01,2023-03-15,21.284,12.89,32.2,17.8,0,0
Faisalabad,2017-18,wheat,2017-12-01,2018-03-15,23.559,9.312,33.8,30.7,0,0
Faisalabad,2018-19,wheat,2018-12-01,2019-03-15,19.75,7.734,26.0,101.8,0,0
Faisalabad,2020-21,wheat,2020-12-01,2021-03-15,22.539,9.036,31.1,40.6,0,0
Faisalabad,2021-22,wheat,2021-12-01,2022-03-15,21.487,9.057,35.6,93.0,0,2
Faisalabad,2022-23,wheat,2022-12-01,2023-03-15,22.598,9.374,31.7,36.7,2,0
Gujranwala,2017-18,wheat,2017-12-01,2018-03-15,21.879,8.355,30.5,62.1,0,0
Gujranwala,2018-19,wheat,2018-12-01,2019-03-15,18.722,7.027,23.5,181.3,2,0
Gujranwala,2020-21,wheat,2020-12-01,2021-03-15,20.453,8.261,28.2,109.2,1,0
Gujranwala,2021-22,wheat,2021-12-01,2022-03-15,19.619,7.923,33.1,174.5,0,0
Gujranwala,2022-23,wheat,2022-12-01,2023-03-15,21.35,8.674,31.4,57.3,3,0
Gujrat,2017-18,wheat,2017-12-01,2018-03-15,21.785,8.974,30.6,93.9,0,0
Gujrat,2018-19,wheat,2018-12-01,2019-03-15,18.294,7.464,23.4,239.5,0,0
Gujrat,2020-21,wheat,2020-12-01,2021-03-15,20.456,8.786,28.9,143.6,0,0
Gujrat,2021-22,wheat,2021-12-01,2022-03-15,19.572,8.241,33.5,210.5,0,0
Gujrat,2022-23,wheat,2022-12-01,2023-03-15,21.098,8.887,31.1,116.6,0,0
Hafizabad,2017-18,wheat,2017-12-01,2018-03-15,23.017,8.647,33.2,32.6,0,0
Hafizabad,2018-19,wheat,2018-12-01,2019-03-15,19.121,7.218,24.9,159.8,0,0
Hafizabad,2020-21,wheat,2020-12-01,2021-03-15,20.818,8.361,28.2,69.2,1,0
Hafizabad,2021-22,wheat,2021-12-01,2022-03-15,19.88,8.318,32.6,145.2,0,0
Hafizabad,2022-23,wheat,2022-12-01,2023-03-15,21.65,8.77,31.3,57.4,2,0
Jhang,2017-18,wheat,2017-12-01,2018-03-15,22.775,8.99,31.1,46.8,0,0
Jhang,2018-19,wheat,2018-12-01,2019-03-15,19.578,7.65,25.5,107.8,0,0
Jhang,2020-21,wheat,2020-12-01,2021-03-15,22.815,8.894,31.6,25.4,0,0
Jhang,2021-22,wheat,2021-12-01,2022-03-15,21.253,8.89,35.6,83.3,0,2
Jhang,2022-23,wheat,2022-12-01,2023-03-15,22.919,9.511,33.2,30.9,2,0
Jhelum,2017-18,wheat,2017-12-01,2018-03-15,21.452,10.915,30.3,59.0,0,0
Jhelum,2018-19,wheat,2018-12-01,2019-03-15,17.365,8.442,22.9,222.8,0,0
Jhelum,2020-21,wheat,2020-12-01,2021-03-15,19.946,9.953,28.9,104.9,0,0
Jhelum,2021-22,wheat,2021-12-01,2022-03-15,18.702,9.27,32.4,240.9,0,0
Jhelum,2022-23,wheat,2022-12-01,2023-03-15,20.588,10.216,32.4,92.1,0,0
