district,ph,clay_pct,silt_pct,sand_pct,texture_class,bulk_dens,water_33k,soc_raw
Attock,7.812,28.989,32.201,38.81,4,1.4687,23.943,1.4685
Bahawalnagar,7.987,23.152,28.638,48.21,7,1.4826,16.927,1.0573
Bahawalpur,8.102,17.976,18.968,63.056,9,1.4731,6.802,0.4722
Bhakkar,8.096,26.49,28.807,44.703,6,1.4883,18.999,0.7028
Chakwal,7.755,29.384,29.987,40.629,4,1.4501,24.207,1.6556
Dera Ghazi Khan,7.916,26.29,27.591,46.12,6,1.4808,19.86,1.286
Faisalabad,7.959,23.017,41.765,35.218,7,1.5064,20.491,1.1739
Gujranwala,7.893,25.459,39.632,34.909,7,1.5884,23.098,1.5789
Gujrat,7.593,27.99,36.121,35.889,4,1.5394,23.049,1.4233
Hafizabad,8.113,24.793,40.84,34.367,7,1.5841,21.306,1.4397
Jhang,7.912,24.254,39.008,36.738,7,1.4977,20.36,2.9344
Jhelum,7.587,29.343,32.424,38.232,4,1.4709,24.933,1.6779
Kasur,7.9,23.188,42.189,34.623,7,1.4969,21.262,1.2367
Khanewal,7.673,24.482,38.493,37.025,7,1.4958,21.619,3.7232
Khushab,7.863,28.833,29.457,41.711,4,1.4743,23.024,1.1969
Lahore,7.846,24.241,41.891,33.869,7,1.4994,21.439,1.3159
Layyah,8.039,26.076,30.739,43.184,7,1.4906,18.893,1.0011
Lodhran,7.644,24.225,36.789,38.986,7,1.5017,21.927,1.1861
Mandi Bahauddin,7.64,25.171,39.205,35.624,7,1.546,23.084,1.352
Mianwali,7.759,28.387,31.243,40.37,4,1.4721,24.403,1.566
Multan,7.861,24.369,40.15,35.481,7,1.5034,21.723,2.5417
Muzaffargarh,7.896,27.07,35.749,37.181,7,1.4983,23.294,1.3169
Narowal,7.509,26.537,37.352,36.111,7,1.6121,23.715,1.6087
Okara,7.872,24.319,40.681,35.0,7,1.4953,21.213,1.2615
Pakpattan,7.819,24.707,38.95,36.343,7,1.4895,21.193,1.2708
Rahim Yar Khan,7.996,22.13,27.967,49.903,7,1.4876,14.704,0.9135
Rajanpur,8.009,22.064,25.104,52.832,9,1.4847,13.416,0.8341
Rawalpindi,7.262,27.686,33.996,38.318,7,1.4343,25.535,2.15
Sahiwal,7.709,24.158,39.124,36.719,7,1.4832,20.821,1.2773
Sargodha,7.806,24.266,41.348,34.386,7,1.5077,22.022,1.3866
Sheikhupura,8.015,24.585,42.357,33.058,7,1.568,21.493,1.3377
Sialkot,7.592,25.359,39.336,35.304,7,1.6048,23.509,1.6034
Toba Tek Singh,7.888,25.051,39.337,35.613,7,1.4964,21.989,1.2176
Vehari,7.765,24.41,39.115,36.475,7,1.4889,21.531,1.2335
